ISO	NAME	LAT	LON	ETHNOLOGUE	GLOTTOLOG
ukq	UKWA	5.58	8.00	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Efik	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross,CentralLowerCross,Efik-Ibibio
usk	USAKADE	4.75	8.67	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Usaghade	Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross
aqg	ARIGIDI	7.57	5.87	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Defoid,Akokoid	Atlantic-Congo,Volta-Congo,Benue-Congo,Defoid
aye	AYERE	7.50	6.00	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Defoid,Ayere-Ahan	Atlantic-Congo,Volta-Congo,Benue-Congo,Defoid,Ayere-Ahan
igl	IGALA	7.25	7.00	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Defoid,Yoruboid,Igala	Atlantic-Congo,Volta-Congo,Benue-Congo,Defoid,Yoruboid
yor	OKA	7.95	5.68	Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Defoid,Yoruboid,Edekiri	Atlantic-Congo,Volta-Congo,Benue-Congo,Defoid,Yoruboid,Edekiri,Ede,EasternEde,SoutheasternEde,NuclearYoruba,Lucumi-Yoruba
aqd	AMPARI_PA	14.22	-3.87	Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon	Dogon,WestDogon
dti	ANA_TINGA	14.67	-3.12	Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon	Dogon,NorthPlateauDogon,Yanda-Bondum-Tebul,Yanda-Ana
dgb	BUNOGE	14.67	-3.80	Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon	Dogon,WestDogon
dts	DOGON	14.50	-3.33	Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon	Dogon,EscarpmentDogon
dbu	DOGON_BONDUM_DOM	14.90	-3.40	Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon	Dogon,NorthPlateauDogon,Yanda-Bondum-Tebul
dbg	DOGON_DOGUL_DOM	14.50	-3.60	Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon	Dogon,NorthPlateauDogon
dds	DOGON_DONNO_SO	14.30	-3.50	Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon	Dogon,EscarpmentDogon
djm	DOGON_JAMSAY	14.40	-2.40	Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon	Dogon,PlainsDogon
dtk	DOGON_TENE_KAN	14.10	-3.20	Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon	Dogon,PlainsDogon,WesternPlainsDogon
dtm	DOGON_TOMO_KAN	13.90	-3.80	Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon	Dogon,PlainsDogon,WesternPlainsDogon
dtt	DOGON_TORO_TEGU_IWRA	15.00	-2.10	Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon	Dogon,PlainsDogon
dmb	NYAMBEENGGE_1	14.50	-3.75	Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon	Dogon,WestDogon
dtu	TEBUL_URE	14.88	-3.07	Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon	Dogon,NorthPlateauDogon,Yanda-Bondum-Tebul
dbw	WALO_KUMBE	15.00	-2.95	Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon	Dogon,NanganDogon
dym	YANDA	14.62	-3.13	Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon	Dogon,NorthPlateauDogon,Yanda-Bondum-Tebul,Yanda-Ana
nhb	BENG	7.83	-4.25	Niger-Congo,Mande,Eastern,Southeastern,Nwa-Ben,Ben-Gban	Mande,EasternMande,SoutheasternMande,Nwa-Ben,Ben-Gban
bib	BISA	11.50	-0.50	Niger-Congo,Mande,Eastern,Eastern,Bissa	Mande,EasternMande,Bisa-Busa
bqc	BOKO	10.50	3.50	Niger-Congo,Mande,Eastern,Eastern,Busa	Mande,EasternMande,Bisa-Busa,Samo-Busa,Busan,Boko-Busa
bus	BOKOBARU	9.62	3.95	Niger-Congo,Mande,Eastern,Eastern,Busa	Mande,EasternMande,Bisa-Busa,Samo-Busa,Busan,Boko-Busa
bqp	BUSA_NIGERIA	9.67	4.00	Niger-Congo,Mande,Eastern,Eastern,Busa	Mande,EasternMande,Bisa-Busa,Samo-Busa,Busan,Boko-Busa
ggu	GAGU	6.50	-5.50	Niger-Congo,Mande,Eastern,Southeastern,Nwa-Ben,Ben-Gban	Mande,EasternMande,SoutheasternMande,Nwa-Ben,Ben-Gban
goa	GURO	7.00	-6.00	Niger-Congo,Mande,Eastern,Southeastern,Guro-Tura,Guro-Yaoure	Mande,EasternMande,SoutheasternMande,Mano-Dan,Guro-Dan,Guro-Yaoure
tye	KYENGA	11.63	3.60	Niger-Congo,Mande,Eastern,Eastern,Busa	Mande,EasternMande,Bisa-Busa,Samo-Busa,Busan,Kyenga-Shanga
mev	MANN	7.00	-9.00	Niger-Congo,Mande,Eastern,Southeastern,Guro-Tura,Tura-Dan-Mano,Mano	Mande,EasternMande,SoutheasternMande,Mano-Dan
